Month,Avg Min Temp. (degree Celcius),Avg Max Temp. (degree Celcius),Avg Rainfall (mm),Avg Actual Evaporation (mm),"Avg Relative Humidity (morning, %)","Avg Relative Humidity (afternoon, %)",Avg Sunshine (hour/day),Avg Cloudy (hour/day),Avg Solar Radiation (cal/cm^2/day),Station_Barisal,Station_Gazipur,Station_Habiganj,Station_Rangpur,Rainfall
0.7272727272727273,0.7726098191214469,0.7160493827160492,0.011367035596769368,0.12871287128712872,0.9245283018867926,0.6338028169014084,0.690625,0.29866666666666664,0.6086256647708747,1.0,0.0,0.0,0.0,0
0.0,0.2997416020671835,0.4765432098765432,0.0,0.066006600660066,0.8867924528301886,0.46478873239436624,0.540625,0.30666666666666675,0.326114834269154,0.0,1.0,0.0,0.0,0
0.9999999999999999,0.40051679586563294,0.4790123456790123,0.0,0.066006600660066,0.6981132075471698,0.3755868544600939,0.6,0.3419354838709677,0.3499366056873754,1.0,0.0,0.0,0.0,0
0.9999999999999999,0.3643410852713178,0.49382716049382713,0.0,0.09900990099009901,0.5220125786163524,0.3896713615023474,0.5,0.33333333333333337,0.28108675964499186,0.0,1.0,0.0,0.0,0
0.36363636363636365,0.6589147286821707,0.7592592592592593,0.12922524678432545,0.25082508250825086,0.5283018867924528,0.49295774647887325,0.584375,0.4773333333333334,0.6098605325122259,0.0,1.0,0.0,0.0,1
0.5454545454545454,0.7777777777777778,0.6135802469135803,0.07837271911456775,0.1419141914191419,0.830188679245283,0.9201877934272299,0.134375,0.8773333333333335,0.27333454084404996,0.0,1.0,0.0,0.0,1
0.0,0.1472868217054263,0.4061728395061729,0.0,0.09900990099009901,0.8364779874213836,0.3098591549295775,0.55,0.29866666666666664,0.32364426734287255,0.0,0.0,0.0,1.0,0
0.5454545454545454,0.7971576227390181,0.6160493827160494,0.06670655100209393,0.18151815181518152,0.7044025157232704,0.7136150234741784,0.478125,0.5840000000000001,0.5304908531063212,0.0,0.0,0.0,1.0,0
0.09090909090909091,0.396640826873385,0.6987654320987653,0.0035895901884534847,0.1848184818481848,0.5849056603773585,0.22065727699530513,0.7093750000000001,0.2026666666666667,0.5256294149610576,0.0,1.0,0.0,0.0,1
0.9999999999999999,0.27648578811369506,0.4395061728395061,0.0,0.09900990099009901,0.748427672955975,0.3615023474178404,0.478125,0.352,0.2607136388335446,0.0,0.0,0.0,1.0,0
0.9090909090909091,0.5891472868217054,0.5185185185185184,0.0,0.08250825082508252,0.8490566037735848,0.6713615023474179,0.546875,0.32533333333333336,0.32596993298315524,1.0,0.0,0.0,0.0,0
0.2727272727272727,0.6782945736434107,0.7839506172839505,0.0,0.2145214521452145,0.7358490566037735,0.7136150234741784,0.896875,0.1466666666666667,0.8226987864517297,0.0,0.0,1.0,0.0,0
