,Maximum Temp,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,27.8,26.8,25.8,29.1,28,29.2,33.5,34.1,34.2,29.5,34.2,27.2
2,27.1,26.2,26.8,28.3,33.2,29.1,36.2,34.2,34.2,29.8,33.6,28.5
3,27.2,27.2,24.5,27.2,26.5,30,35.2,34.5,33.8,28.8,32.8,28.5
4,26.2,20.2,23.5,26.1,32.2,30.2,33.2,37.2,34.5,31.8,33.8,28.6
5,20.5,20.8,27.5,22.3,33.2,30.7,32.2,36.8,35.2,34.5,33.2,30.2
6,27.8,28.1,30,30,33.5,34.1,29.2,33.2,34.8,33.5,26.8,30.8
7,25.5,28.2,30,28.2,34.2,35,28.2,33.1,34.2,33.8,30.7,28.8
8,26.5,29.4,29,25.2,30.6,31.2,27.5,34.1,30.5,35.2,27.6,27.2
9,26.3,20.2,29.5,28.5,32.2,35.8,28.2,34.2,32.8,33.5,24.4,20.2
10,28.8,26.5,31.2,33.2,30.1,36.2,28.7,30.8,34.8,32.2,28.1,25.8
11,26.5,26.8,29.5,34.2,35,36.2,29.2,34.5,34.5,32.8,31.2,27.1
12,27.2,27.2,32.2,33.2,35.2,36.8,31.8,36.8,33.2,34.8,34.1,27.2
13,27.5,27.1,31,33.8,34.2,34.1,25.5,36.5,34,36.2,34.2,28.2
14,24.2,28.1,31.2,35.2,35.2,29.2,25.5,34.8,33.5,34.2,34.1,28.6
15,26.5,29.8,31.1,32.8,34.8,32.8,31.8,29.8,35.8,36.2,33.5,29.5
16,26.3,29.8,31,33.8,34.5,33.8,33.8,32.2,35.8,36.8,33.3,28.7
17,26.5,25.8,31,33.8,35.2,36.2,33.7,32.2,36.8,35.2,32.6,28.5
18,24.8,27.8,31.1,35.2,34.5,37.8,35.2,34.5,36.5,32.8,31.5,28.1
19,25.2,28.5,31.2,34.5,36.5,36.1,36.2,34.2,36.2,33.1,31.2,259.5
20,20.8,28.1,31.2,34.7,36.5,35.2,35.8,36.8,37.2,33.2,31.1,17.1
21,27.8,30.2,30.8,35.1,33.4,34.5,30.5,36.7,36.8,29.8,32.2,20.2
22,28.2,27.8,31.2,36.5,33.2,36.2,34.3,37.5,32.2,25.8,31.3,20.2
23,28.4,29.2,32.2,34.5,32,36.2,28.7,29.8,31.8,26.1,32.1,19.2
24,28.5,23.8,31.2,34.6,27.2,34.2,30.3,35.5,27.5,25.6,32.2,20.2
25,20.2,24.5,31,37.8,33.2,31.2,30.2,34.8,33.2,25.1,32.1,20.8
26,29.2,24.5,31,37.2,32.2,32.8,31.2,35.5,32.8,28.2,33.1,23.8
27,23.8,26.7,31,33.2,35.2,30.2,33.2,34.5,31.2,34.1,33.8,22.2
28,20.5,24.5,28.7,34.5,35.8,32.2,33.5,36.1,32.2,34.3,32.2,26.3
29,24.5,,29,34.3,35.4,35.2,29.5,36.8,31.5,30.8,31.2,26.8
30,28.1,,29,33.8,36.2,33.8,30.2,36.8,28.2,32.1,22.8,29.2
31,29.5,,29,,29.5,,33.6,37.8,,32.2,,30.2
