,R.H.9.am,,,,,,,,,,,
Day,January,February,March,April,May,June,July,August,September,October,November,December
1,84,85,84,90,84,95,66,81,96,87,90,95
2,89,89,85,94,91,91,74,81,96,91,90,90
3,94,84,85,90,100,91,84,80,91,84,90,86
4,89,100,85,95,76,91,78,80,88,88,95,82
5,84,84,86,76,84,88,87,84,80,96,90,86
6,89,89,90,95,88,92,87,81,92,87,95,77
7,94,89,86,95,88,91,96,74,80,92,90,85
8,88,77,86,82,80,91,100,77,84,91,91,90
9,88,80,82,90,78,91,100,88,91,91,90,94
10,94,84,78,83,84,88,100,95,88,87,95,94
11,94,85,90,84,91,80,96,71,84,91,90,94
12,80,89,86,83,91,80,88,88,87,92,95,90
13,89,85,86,86,83,91,95,87,80,88,95,85
14,89,85,79,88,83,88,100,91,81,88,90,85
15,89,90,83,79,80,84,95,84,88,84,95,85
16,100,89,86,80,83,84,91,91,80,81,90,95
17,89,100,90,87,91,66,100,80,81,73,90,85
18,100,85,82,87,80,84,96,88,88,88,95,95
19,100,81,82,84,88,84,84,88,75,84,90,90
20,100,85,86,86,91,84,84,92,80,85,90,80
21,100,85,91,87,87,81,84,84,88,88,85,84
22,94,100,83,87,83,84,80,84,91,96,95,100
23,94,90,91,83,87,74,91,100,87,95,90,100
24,94,84,75,87,91,84,95,91,95,91,90,100
25,100,94,91,80,87,80,87,92,88,87,95,94
26,95,89,75,84,83,100,80,81,88,95,95,89
27,85,94,98,91,87,88,81,88,88,95,90,94
28,84,89,79,96,84,96,77,80,84,91,90,89
29,83,,78,92,77,92,88,88,91,91,90,90
30,89,,95,88,80,80,91,87,95,91,90,85
31,90,,94,,95,,84,80,,80,,81
